ID,target_country,target_region,prompt,source_prompt,region_choices_list,region_choices_str,region_choice_countries_list,region_choice_region_list,region_answer,answer_idx,answer_str
Al-en-01,Mexico,high,What is a common snack for preschool kids in Mexico?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['egg', 'potato fries', 'toast', 'fruit']",egg|potato fries|toast|fruit,"['Mexico', 'Ethiopia', 'Greece', 'US']","['high', 'low', 'mid', 'high']",0,A,egg
Al-en-01,Spain,high,What is a common snack for preschool kids in Spain?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['egg', 'fruit', 'chocolate paste', 'potato fries']",egg|fruit|chocolate paste|potato fries,"['Mexico', 'Spain', 'Indonesia', 'Ethiopia']","['high', 'high', 'mid', 'low']",1,B,fruit
Al-en-01,UK,high,What is a common snack for preschool kids in UK?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['noodles', 'egg', 'fruit', 'chocolate paste']",noodles|egg|fruit|chocolate paste,"['Northern Nigeria', 'Mexico', 'UK', 'Indonesia']","['low', 'high', 'high', 'mid']",2,C,fruit
Al-en-01,Iran,high,What is a common snack for preschool kids in Iran?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['potato fries', 'chocolate paste', 'jam sandwiches', 'fruit']",potato fries|chocolate paste|jam sandwiches|fruit,"['Ethiopia', 'Indonesia', 'Algeria', 'Iran']","['low', 'mid', 'high', 'high']",3,D,fruit
Al-en-01,Greece,mid,What is a common snack for preschool kids in Greece?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['toast', 'chocolate paste', 'jam sandwiches', 'plantatin']",toast|chocolate paste|jam sandwiches|plantatin,"['Greece', 'Indonesia', 'Algeria', 'Assam']","['mid', 'mid', 'high', 'low']",0,A,toast
Al-en-01,Northern Nigeria,low,What is a common snack for preschool kids in Northern Nigeria?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['cookie', 'noodles', 'jam sandwiches', 'potato fries']",cookie|noodles|jam sandwiches|potato fries,"['South Korea', 'Northern Nigeria', 'Algeria', 'Ethiopia']","['mid', 'low', 'high', 'low']",1,B,noodles
Al-en-01,Assam,low,What is a common snack for preschool kids in Assam?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['noodles', 'fruit', 'plantatin', 'chocolate paste']",noodles|fruit|plantatin|chocolate paste,"['Northern Nigeria', 'Iran', 'Assam', 'Indonesia']","['low', 'high', 'low', 'mid']",2,C,plantatin
Al-en-01,Indonesia,mid,What is a common snack for preschool kids in Indonesia?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['toast', 'fruit', 'plantatin', 'chocolate paste']",toast|fruit|plantatin|chocolate paste,"['Greece', 'UK', 'Assam', 'Indonesia']","['mid', 'high', 'low', 'mid']",3,D,chocolate paste
Al-en-01,Ethiopia,low,What is a common snack for preschool kids in Ethiopia?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['potato fries', 'egg', 'noodles', 'toast']",potato fries|egg|noodles|toast,"['Ethiopia', 'Mexico', 'Northern Nigeria', 'Greece']","['low', 'high', 'low', 'mid']",0,A,potato fries
Al-en-01,US,high,What is a common snack for preschool kids in US?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,"['plantatin', 'fruit', 'cookie', 'cheese stick']",plantatin|fruit|cookie|cheese stick,"['Assam', 'US', 'South Korea', 'China']","['low', 'high', 'mid', 'high']",1,B,fruit
