ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Al-en-01,Indonesia,South Asia,What is a common snack for preschool kids in Indonesia?,Apa camilan umum untuk anak-anak TK di Indonesia?,A,"['chocolate paste', 'cheese stick', 'jam sandwiches', 'plantatin']","['choki-choki', '奶酪棒', 'شطائر الخبز بالمربى', 'ভীমকল']","['Indonesia', 'China', 'Algeria', 'Assam']","['South Asia', 'East Asia', 'Africa', 'South Asia']",0,chocolate paste
Al-en-04,Indonesia,South Asia,What is the most popular fruit in Indonesia?,Buah apa yang paling populer di Indonesia?,B,"['malbhog banana', 'durian', 'apple', 'orange']","['মালভোগ কল', 'durian', '사과', 'البرتقال']","['Assam', 'Indonesia', 'South_Korea', 'Algeria']","['South Asia', 'South Asia', 'East Asia', 'Africa']",1,durian
Al-en-06,Indonesia,South Asia,What is a common school cafeteria food in Indonesia?,Apa makanan kantin sekolah yang umum di Indonesia?,C,"['tea', 'biscuits', 'fried rice', 'noodles']","['চাহ', 'ብስኩት', 'nasi goreng', '面食']","['Assam', 'Ethiopia', 'Indonesia', 'China']","['South Asia', 'Africa', 'South Asia', 'East Asia']",2,fried rice
Al-en-08,Indonesia,South Asia,What are the most commonly eaten snacks at shopping malls in Indonesia?,Apa saja camilan yang paling sering dimakan di pusat perbelanjaan di Indonesia?,D,"['ice cream', 'cookies', 'panipuri', 'fritters']","['아이스크림', 'ኩኪስ', 'ফুচকা', 'gorengan']","['South_Korea', 'Ethiopia', 'Assam', 'Indonesia']","['East Asia', 'Africa', 'South Asia', 'South Asia']",3,fritters
Al-en-09,Indonesia,South Asia,What is a popular snack at an amusement park in Indonesia?,Apa camilan populer di taman hiburan di Indonesia?,A,"['popcorn', 'marshmallow', 'ice cream', 'shawarma']","['brondong jagung', '棉花糖', 'আইচক্ৰীম', 'shawarma']","['Indonesia', 'China', 'Assam', 'Northern_Nigeria']","['South Asia', 'East Asia', 'South Asia', 'Africa']",0,popcorn
Al-en-34,Indonesia,South Asia,What do people do to celebrate New Year's Day in Indonesia?,Apa yang dilakukan orang-orang untuk merayakan Hari Tahun Baru di Indonesia?,B,"['pictures and clothes of the new year', 'set off fireworks', 'eating sliced rice cake soup', 'picnic']","['hotona da rugunan sabuwar shekara', 'menyalakan petasan', '떡국 먹기', 'পিকনিকত যায়\u200b']","['Northern_Nigeria', 'Indonesia', 'South_Korea', 'Assam']","['Africa', 'South Asia', 'East Asia', 'South Asia']",1,set off fireworks
Al-en-40,Indonesia,South Asia,What is a popular outdoor place for families to have fun with little kids in Indonesia?,Apa tempat luar ruangan yang populer bagi keluarga untuk bersenang-senang bersama anak-anak kecil di Indonesia?,C,"['playgrounds', 'playground', 'beach', 'sablettes park']","['παιδικές χαρές', 'খেল পথাৰ', 'pantai', 'صابلات']","['Greece', 'Assam', 'Indonesia', 'Algeria']","['Europe', 'South Asia', 'South Asia', 'Africa']",2,beach
An-ar-02,Indonesia,South Asia,Where do university students have lunch in Indonesia?,Di mana mahasiswa universitas makan siang di Indonesia?,D,"['restaurant', 'in bars close to the university', 'hostel', 'canteen']","['university canteen', 'en bares cercanos a la universidad', 'হোষ্টেল', 'di kantin']","['Algeria', 'Spain', 'Assam', 'Indonesia']","['Africa', 'Europe', 'South Asia', 'South Asia']",3,canteen
An-ar-35,Indonesia,South Asia,Who is the most popular sport commentator in Indonesia?,Siapa komentator olahraga paling populer di Indonesia?,A,"['valentino simanjuntak', 'anil sharma', 'clive tildsley', 'hafid derradji']","['bang valent', 'অনিল শৰ্মা', 'clive tildsley', 'حفيظ دراجي']","['Indonesia', 'Assam', 'UK', 'Algeria']","['South Asia', 'South Asia', 'Europe', 'Africa']",0,valentino simanjuntak
An-ar-36,Indonesia,South Asia,What is the most popular sport team in Indonesia?,Apa tim olahraga paling populer di Indonesia?,B,"['olympiacos', 'persija', 'ethiopian coffee sport club', 'cricket team']","['Ολυμπιακός', 'persija jakarta', 'ኢትዮጵያ ቡና', 'ক্ৰিকেট']","['Greece', 'Indonesia', 'Ethiopia', 'Assam']","['Europe', 'South Asia', 'Africa', 'South Asia']",1,persija
