ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Al-en-01,Azerbaijan,Western Asia,What is a common snack for preschool kids in Azerbaijan?,Azərbaycanda məktəbəqədər uşaqlar üçün tipik qəlyanaltı nədir?,A,"['nuts', 'jam sandwiches', 'fruit', 'cheese stick']","['qoz-fındıq', 'شطائر الخبز بالمربى', 'میوه', '奶酪棒']","['Azerbaijan', 'Algeria', 'Iran', 'China']","['Western Asia', 'Africa', 'Western Asia', 'East Asia']",0,nuts
Al-en-06,Azerbaijan,Western Asia,What is a common school cafeteria food in Azerbaijan?,Azərbaycanda məktəb yeməkxanasında tipik olaraq hansı yemək verilir?,B,"['lentils', 'dolma', 'kimchi', 'sandwich']","['العدس', 'dolma', '김치', 'ساندویچ']","['Algeria', 'Azerbaijan', 'South_Korea', 'Iran']","['Africa', 'Western Asia', 'East Asia', 'Western Asia']",1,dolma
Al-en-08,Azerbaijan,Western Asia,What are the most commonly eaten snacks at shopping malls in Azerbaijan?,Azərbaycanda alış-veriş mərkəzlərində ən çox hansı qəlyanaltılar yeyilir?,C,"['potato chips', 'cookies', 'doner kebab', 'crisps']","['薯片', 'ኩኪስ', 'dönər', 'چیپس']","['China', 'Ethiopia', 'Azerbaijan', 'Iran']","['East Asia', 'Africa', 'Western Asia', 'Western Asia']",2,doner kebab
Al-en-09,Azerbaijan,Western Asia,What is a popular snack at an amusement park in Azerbaijan?,Azərbaycanda əyləncə parkında populyar qəlyanaltı nədir?,D,"['cotton candy', 'cake', 'churros', 'popcorn']","['پشمک', 'ኬክ', '츄러스', 'popkorn']","['Iran', 'Ethiopia', 'South_Korea', 'Azerbaijan']","['Western Asia', 'Africa', 'East Asia', 'Western Asia']",3,popcorn
Al-en-34,Azerbaijan,Western Asia,What do people do to celebrate New Year's Day in Azerbaijan?,Azərbaycanda insanlar Yeni İl gününü qeyd etmək üçün nə edirlər?,A,"['evening meal', 'pictures and clothes of the new year', 'pasting chinese couplets', 'setting the haft-seen table']","['şam yeməyi', 'hotona da rugunan sabuwar shekara', '贴春联', 'چیدن سفره هفت سین']","['Azerbaijan', 'Northern_Nigeria', 'China', 'Iran']","['Western Asia', 'Africa', 'East Asia', 'Western Asia']",0,evening meal
Al-en-43,Azerbaijan,Western Asia,What is a popular indoor activity for families in Azerbaijan?,Azərbaycanda ailələr üçün məşhur qapalı fəaliyyət nədir?,B,"['watching series', 'entertainment center', 'sweep', 'watching tv']","['سریال دیدن', 'əyləncə mərkəzi', 'shara', '티비 시청']","['Iran', 'Azerbaijan', 'Northern_Nigeria', 'South_Korea']","['Western Asia', 'Western Asia', 'Africa', 'East Asia']",1,entertainment center
An-ar-02,Azerbaijan,Western Asia,Where do university students have lunch in Azerbaijan?,Azərbaycanda universitet tələbələri harada nahar edirlər?,C,"[""school's restaurant"", 'university dining hall', 'campus cafeterias', 'restaurant']","['λέσχη', 'سلف دانشگاه', 'kampus yeməkxanası', 'university canteen']","['Greece', 'Iran', 'Azerbaijan', 'Algeria']","['Europe', 'Western Asia', 'Western Asia', 'Africa']",2,campus cafeterias
An-ar-35,Azerbaijan,Western Asia,Who is the most popular sport commentator in Azerbaijan?,Azərbaycanda ən məşhur idman şərhçisi kimdir?,D,"['ferdowsi pour', 'jose maria garcia', 'hafid derradji', 'ismayil abdullayev']","['فردوسی پور', 'jose maria garcia', 'حفيظ دراجي', 'İsmayıl Abdullayev']","['Iran', 'Spain', 'Algeria', 'Azerbaijan']","['Western Asia', 'Europe', 'Africa', 'Western Asia']",3,ismayil abdullayev
An-ar-36,Azerbaijan,Western Asia,What is the most popular sport team in Azerbaijan?,Azərbaycanda ən populyar idman komandası hansıdır?,A,"['qarabag fk', 'esteghlal', 'manchester united', 'mca']","['Qarabağ FK', 'استقلال', 'manchester united', 'مولودية الجزائر']","['Azerbaijan', 'Iran', 'UK', 'Algeria']","['Western Asia', 'Western Asia', 'Europe', 'Africa']",0,qarabag fk
An-ar-43,Azerbaijan,Western Asia,What are the common places or venues where individuals in Azerbaijan usually gather to watch sports broadcasts?,Azərbaycanda insanların adətən idman yayımlarını izləmək üçün toplaşdığı ümumi yerlər və ya məkanlar hansılardır?,B,"['bars', 'teahouse', 'cafe', 'cafes']","['መጠጥ ቤቶች', 'çayxana', 'كافه', 'καφενείο']","['Ethiopia', 'Azerbaijan', 'Iran', 'Greece']","['Africa', 'Western Asia', 'Western Asia', 'Europe']",1,teahouse
