ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Al-en-01,Greece,Europe,What is a common snack for preschool kids in Greece?,Ποιο είναι ένα συνηθισμένο σνακ για παιδιά προσχολικής ηλικίας στην Ελλάδα;,A,"['toast', 'fruit', 'cheese stick', 'jam sandwiches']","['τοστ', 'fruta', '奶酪棒', 'شطائر الخبز بالمربى']","['Greece', 'Spain', 'China', 'Algeria']","['Europe', 'Europe', 'East Asia', 'Africa']",0,toast
Al-en-06,Greece,Europe,What is a common school cafeteria food in Greece?,Ποιο είναι ένα συνηθισμένο φαγητό στα σχολεία στην Ελλάδα;,B,"['kimchi', 'sandwich', 'lentils', 'spanish omelette']","['김치', 'σάντουιτς', 'العدس', 'tortilla de patatas']","['South_Korea', 'Greece', 'Algeria', 'Spain']","['East Asia', 'Europe', 'Africa', 'Europe']",1,sandwich
Al-en-08,Greece,Europe,What are the most commonly eaten snacks at shopping malls in Greece?,Ποια είναι τα πιο συνηθισμένα σνακ που καταναλώνονται στα εμπορικά κέντρα στην Ελλάδα;,C,"['french fried', 'cookies', 'souvlaki', 'potato chips']","['patatas fritas', 'ኩኪስ', 'σουβλάκι', '薯片']","['Spain', 'Ethiopia', 'Greece', 'China']","['Europe', 'Africa', 'Europe', 'East Asia']",2,souvlaki
Al-en-09,Greece,Europe,What is a popular snack at an amusement park in Greece?,Ποιο είναι ένα δημοφιλές σνακ σε λούνα παρκ στην Ελλάδα;,D,"['cake', 'churros', 'french fries', 'cotton candy']","['ኬክ', '츄러스', 'patatas fritas', 'μαλλί της γριάς']","['Ethiopia', 'South_Korea', 'Spain', 'Greece']","['Africa', 'East Asia', 'Europe', 'Europe']",3,cotton candy
Al-en-34,Greece,Europe,What do people do to celebrate New Year's Day in Greece?,Τι κάνουν οι άνθρωποι για να γιορτάσουν την Πρωτοχρονιά στην Ελλάδα;,A,"['cutting vasilopita.', 'pictures and clothes of the new year', 'pasting chinese couplets', 'eat grapes at 12']","['κόβουν βασιλόπιτα.', 'hotona da rugunan sabuwar shekara', '贴春联', 'comer uvas a las 12']","['Greece', 'Northern_Nigeria', 'China', 'Spain']","['Europe', 'Africa', 'East Asia', 'Europe']",0,cutting vasilopita.
Al-en-35,Greece,Europe,What do people do to celebrate Christmas in Greece?,Τι κάνουν οι άνθρωποι για να γιορτάσουν τα Χριστούγεννα στην Ελλάδα;,B,"['cooking food', 'meal with the family', 'dinner', 'date']","['girka abinci', 'οικογενειακό τραπέζι', 'reunirse para comer', '데이트']","['Northern_Nigeria', 'Greece', 'Spain', 'South_Korea']","['Africa', 'Europe', 'Europe', 'East Asia']",1,meal with the family
Al-en-40,Greece,Europe,What is a popular outdoor place for families to have fun with little kids in Greece?,Ποιο είναι ένα δημοφιλές υπαίθριο μέρος για τις οικογένειες να διασκεδάζουν με μικρά παιδιά στην Ελλάδα;,C,"[""children's park"", 'local parks', 'playgrounds', 'sablettes park']","['儿童公园', 'local parks', 'παιδικές χαρές', 'صابلات']","['China', 'UK', 'Greece', 'Algeria']","['East Asia', 'Europe', 'Europe', 'Africa']",2,playgrounds
An-ar-02,Greece,Europe,Where do university students have lunch in Greece?,Πού τρώνε μεσημεριανό οι φοιτητές του πανεπιστημίου στην Ελλάδα;,D,"['canteen', 'school cafeteria', 'restaurant', ""school's restaurant""]","['canteen', '교내식당', 'university canteen', 'λέσχη']","['UK', 'South_Korea', 'Algeria', 'Greece']","['Europe', 'East Asia', 'Africa', 'Europe']",3,school's restaurant
An-ar-35,Greece,Europe,Who is the most popular sport commentator in Greece?,Ποιος είναι ο πιο δημοφιλής αθλητικός σχολιαστής στην Ελλάδα;,A,"['george thanailakis', 'huang jianxiang', 'clive tildsley', 'feker yilekal']","['γιώργος θαναηλάκης', '黄健翔', 'clive tildsley', 'ፍቅር ይልቃል']","['Greece', 'China', 'UK', 'Ethiopia']","['Europe', 'East Asia', 'Europe', 'Africa']",0,george thanailakis
An-ar-36,Greece,Europe,What is the most popular sport team in Greece?,Ποια είναι η πιο δημοφιλής αθλητική ομάδα στην Ελλάδα;,B,"['lg twins', 'olympiacos', 'ethiopian coffee sport club', 'manchester united']","['엘지 트윈스', 'Ολυμπιακός', 'ኢትዮጵያ ቡና', 'manchester united']","['South_Korea', 'Greece', 'Ethiopia', 'UK']","['East Asia', 'Europe', 'Africa', 'Europe']",1,olympiacos
An-ar-43,Greece,Europe,What are the common places or venues where individuals in Greece usually gather to watch sports broadcasts?,Ποια είναι τα συνηθισμένα μέρη ή χώροι όπου τα άτομα στην Ελλάδα συνήθως συγκεντρώνονται για να παρακολουθήσουν αθλητικές μεταδόσεις;,C,"['cinema', 'family', 'cafes', 'pub']","['Sinima', '家', 'καφενείο', 'pub']","['Northern_Nigeria', 'China', 'Greece', 'UK']","['Africa', 'East Asia', 'Europe', 'Europe']",2,cafes
Ca-sp-06,Greece,Europe,Which is the most important meal of the day to people from Greece?,Ποιο είναι το πιο σημαντικό γεύμα της ημέρας για τους Έλληνες;,D,"['breakfast', 'rice', 'dinner', 'lunch']","['breakfast', 'shinkafa', '저녁', 'μεσημεριανό']","['UK', 'Northern_Nigeria', 'South_Korea', 'Greece']","['Europe', 'Africa', 'East Asia', 'Europe']",3,lunch
