ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Al-en-01,Algeria,Africa,What is a common snack for preschool kids in Algeria?,ماذا يأكل الأطفال كوجبة خفيفة قبل المدرسة في الجزائر؟,A,"['jam sandwiches', 'cheese stick', 'potato fries', 'toast']","['شطائر الخبز بالمربى', '奶酪棒', 'ቺፕስ', 'τοστ']","['Algeria', 'China', 'Ethiopia', 'Greece']","['Africa', 'East Asia', 'Africa', 'Europe']",0,jam sandwiches
Al-en-06,Algeria,Africa,What is a common school cafeteria food in Algeria?,ما هو طعام كافتيريا المدرسة الشائع في الجزائر؟,B,"['biscuits', 'lentils', 'noodles', 'spanish omelette']","['ብስኩት', 'العدس', '面食', 'tortilla de patatas']","['Ethiopia', 'Algeria', 'China', 'Spain']","['Africa', 'Africa', 'East Asia', 'Europe']",1,lentils
Al-en-08,Algeria,Africa,What are the most commonly eaten snacks at shopping malls in Algeria?,ما هي الوجبات الخفيفة التي يتناولها الناس في مراكز التسوق في الجزائر؟,C,"['burgers', 'potato chips', 'pizza', 'cookies']","['burgers', '薯片', 'بيتزا', 'ኩኪስ']","['UK', 'China', 'Algeria', 'Ethiopia']","['Europe', 'East Asia', 'Africa', 'Africa']",2,pizza
Al-en-34,Algeria,Africa,What do people do to celebrate New Year's Day in Algeria?,كيف يحتفل الناس برأس السنة الجديدة في الجزائر؟ ,D,"['cutting vasilopita.', 'eating sliced rice cake soup', 'light a torch', 'eating sweets']","['κόβουν βασιλόπιτα.', '떡국 먹기', 'ችቦ ያበራሉ', 'يأكلون الحلوى']","['Greece', 'South_Korea', 'Ethiopia', 'Algeria']","['Europe', 'East Asia', 'Africa', 'Africa']",3,eating sweets
Al-en-40,Algeria,Africa,What is a popular outdoor place for families to have fun with little kids in Algeria?,ما هو مكان أشهر مكان لخروج العائلات مع الأطفال الصغار في الجزائر؟,A,"['sablettes park', 'parks', 'park', 'squares']","['صابلات', 'መናፈሻዎች', '공원', 'plazas']","['Algeria', 'Ethiopia', 'South_Korea', 'Spain']","['Africa', 'Africa', 'East Asia', 'Europe']",0,sablettes park
An-ar-02,Algeria,Africa,Where do university students have lunch in Algeria?,أين يتناول طلبة الجامعة غداءهم في الجزائر؟,B,"['university cafe', 'restaurant', 'canteen', 'school cafeteria']","['የዩኒቨርሲቲው ካፌ ውስጥ', 'university canteen', 'canteen', '교내식당']","['Ethiopia', 'Algeria', 'UK', 'South_Korea']","['Africa', 'Africa', 'Europe', 'East Asia']",1,restaurant
An-ar-35,Algeria,Africa,Who is the most popular sport commentator in Algeria?,من هو أشهر معلق رياضي في الجزائر؟,C,"['aminu halilu tudunwada', 'huang jianxiang', 'hafid derradji', 'george thanailakis']","['aminu halilu tudunwada', '黄健翔', 'حفيظ دراجي', 'γιώργος θαναηλάκης']","['Northern_Nigeria', 'China', 'Algeria', 'Greece']","['Africa', 'East Asia', 'Africa', 'Europe']",2,hafid derradji
An-ar-36,Algeria,Africa,What is the most popular sport team in Algeria?,ما هو أشهر فريق رياضي في الجزائر؟,D,"['real madrid', 'kano pillars', 'table tennis team', 'mca']","['real madrid', 'kano pillars', '乒乓球运动队', 'مولودية الجزائر']","['Spain', 'Northern_Nigeria', 'China', 'Algeria']","['Europe', 'Africa', 'East Asia', 'Africa']",3,mca
An-ar-43,Algeria,Africa,What are the common places or venues where individuals in Algeria usually gather to watch sports broadcasts?,ما هي الأماكن أو الفضاءات الشائعة التي يتجمع فيها الأفراد في الجزائر لمشاهدة بث رياضي؟,A,"['cafes', 'pub', 'cinema', 'family']","['مقاهي', 'pub', 'Sinima', '家']","['Algeria', 'UK', 'Northern_Nigeria', 'China']","['Africa', 'Europe', 'Africa', 'East Asia']",0,cafes
Ca-sp-08,Algeria,Africa,What is the most common ingredient used in Algeria's diet?,ما هو أكثر مكون شائع الاستخدام في النظام الغذائي الجزائري؟,B,"['olive oil', 'wheat', 'cabbage', 'salt']","['ελαιόλαδο', 'قمح', '배추', 'gishiri']","['Greece', 'Algeria', 'South_Korea', 'Northern_Nigeria']","['Europe', 'Africa', 'East Asia', 'Africa']",1,wheat
