ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Al-en-01,China,East Asia,What is a common snack for preschool kids in China?,在中国，学龄前儿童常见的零食是什么？,A,"['cheese stick', 'jam sandwiches', 'cookie', 'toast']","['奶酪棒', 'شطائر الخبز بالمربى', '과자', 'τοστ']","['China', 'Algeria', 'South_Korea', 'Greece']","['East Asia', 'Africa', 'East Asia', 'Europe']",0,cheese stick
Al-en-06,China,East Asia,What is a common school cafeteria food in China?,在中国的学校食堂里常见的食物是什么？,B,"['kimchi', 'noodles', 'spanish omelette', 'lentils']","['김치', '面食', 'tortilla de patatas', 'العدس']","['South_Korea', 'China', 'Spain', 'Algeria']","['East Asia', 'East Asia', 'Europe', 'Africa']",1,noodles
Al-en-08,China,East Asia,What are the most commonly eaten snacks at shopping malls in China?,在中国的购物中心里，最常见的零食有哪些？,C,"['ice cream', 'burgers', 'potato chips', 'pizza']","['아이스크림', 'burgers', '薯片', 'بيتزا']","['South_Korea', 'UK', 'China', 'Algeria']","['East Asia', 'Europe', 'East Asia', 'Africa']",2,potato chips
Al-en-09,China,East Asia,What is a popular snack at an amusement park in China?,在中国的游乐园里，有什么受欢迎的小吃？,D,"['cotton candy', 'cake', 'churros', 'marshmallow']","['μαλλί της γριάς', 'ኬክ', '츄러스', '棉花糖']","['Greece', 'Ethiopia', 'South_Korea', 'China']","['Europe', 'Africa', 'East Asia', 'East Asia']",3,marshmallow
Al-en-34,China,East Asia,What do people do to celebrate New Year's Day in China?,中国人在新年当天通常会做些什么来庆祝呢？,A,"['pasting chinese couplets', 'eat grapes at 12', 'eating sliced rice cake soup', 'light a torch']","['贴春联', 'comer uvas a las 12', '떡국 먹기', 'ችቦ ያበራሉ']","['China', 'Spain', 'South_Korea', 'Ethiopia']","['East Asia', 'Europe', 'East Asia', 'Africa']",0,pasting chinese couplets
Al-en-35,China,East Asia,What do people do to celebrate Christmas in China?,人们在中国怎样庆祝圣诞节？,B,"['date', 'gathering', 'gena game', 'give gifts']","['데이트', '聚会', 'የገና ጨዋታ ይጫወታሉ', 'give gifts']","['South_Korea', 'China', 'Ethiopia', 'UK']","['East Asia', 'East Asia', 'Africa', 'Europe']",1,gathering
Al-en-37,China,East Asia,What food is associated with Christmas in China?,在中国，哪些食物与圣诞节有关联？,C,"['cake', 'meat', 'turkey', 'melomakarona']","['케이크', 'nama', '火鸡', 'μελομακάρονα']","['South_Korea', 'Northern_Nigeria', 'China', 'Greece']","['East Asia', 'Africa', 'East Asia', 'Europe']",2,turkey
Al-en-40,China,East Asia,What is a popular outdoor place for families to have fun with little kids in China?,在中国，有哪些受欢迎的户外场所适合家庭带着小孩子去玩乐？,D,"['park', 'minjibir park', 'squares', ""children's park""]","['공원', 'minjibir park', 'plazas', '儿童公园']","['South_Korea', 'Northern_Nigeria', 'Spain', 'China']","['East Asia', 'Africa', 'Europe', 'East Asia']",3,children's park
Al-en-43,China,East Asia,What is a popular indoor activity for families in China?,在中国，家庭中流行的室内活动是什么？,A,"['mahjong', 'watching tv', 'sweep', 'watching television']","['麻将', '티비 시청', 'shara', 'watching television']","['China', 'South_Korea', 'Northern_Nigeria', 'UK']","['East Asia', 'East Asia', 'Africa', 'Europe']",0,mahjong
An-ar-35,China,East Asia,Who is the most popular sport commentator in China?,谁是中国最受欢迎的体育评论员？,B,"['sung-jae bae', 'huang jianxiang', 'bermudez a.k.a ""el perro""', 'hafid derradji']","['배성재', '黄健翔', '""El perro"" Bermúdez', 'حفيظ دراجي']","['South_Korea', 'China', 'Mexico', 'Algeria']","['East Asia', 'East Asia', 'North America', 'Africa']",1,huang jianxiang
An-ar-36,China,East Asia,What is the most popular sport team in China?,中国最受欢迎的运动队是哪一支？,C,"['lg twins', 'Yankees', 'table tennis team', 'mca']","['엘지 트윈스', 'Yankees', '乒乓球运动队', 'مولودية الجزائر']","['South_Korea', 'US', 'China', 'Algeria']","['East Asia', 'North America', 'East Asia', 'Africa']",2,table tennis team
An-ar-43,China,East Asia,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,在中国，人们通常聚集在哪些地点或场所观看体育转播？,D,"['bars', 'pub', 'restaurant bar', 'family']","['መጠጥ ቤቶች', '주점', 'restaurante bar', '家']","['Ethiopia', 'South_Korea', 'Mexico', 'China']","['Africa', 'East Asia', 'North America', 'East Asia']",3,family
Ca-sp-08,China,East Asia,What is the most common ingredient used in China's diet?,中国饮食中最常用的食材是什么？,A,"['rice', 'wheat', 'salt', 'cabbage']","['大米', 'wheat', 'ጨው', '배추']","['China', 'US', 'Ethiopia', 'South_Korea']","['East Asia', 'North America', 'Africa', 'East Asia']",0,rice
Ca-sp-09,China,East Asia,What do people from China usually eat for dessert?,中国人通常吃什么甜点？,B,"['pastry', 'cake', 'fruit', 'judge']","['pan dulce', '糕点', '과일', 'alkali']","['Mexico', 'China', 'South_Korea', 'Northern_Nigeria']","['North America', 'East Asia', 'East Asia', 'Africa']",1,cake
Ca-sp-29,China,East Asia,What tradition is there in China for New Year's Eve?,中国在除夕有什么传统？,C,"['Watching the ball drop at Times Square', 'countdown', 'set off firecrackers', 'singing']","['Watching the ball drop at Times Square', '카운트다운', '放鞭炮', 'Kiɗa']","['US', 'South_Korea', 'China', 'Northern_Nigeria']","['North America', 'East Asia', 'East Asia', 'Africa']",2,set off firecrackers
Ca-sp-38,China,East Asia,Which is the typical type of house for a family in China?,在中国，典型的家庭住宅是哪种类型的房子？,D,"['flat', 'assam type', 'the apartment', 'apartment building']","['아파트', 'আসাম টাইপ', 'الشقة', '公寓楼']","['South_Korea', 'Assam', 'Algeria', 'China']","['East Asia', 'South Asia', 'Africa', 'East Asia']",3,apartment building
