ID,target_country,target_region,prompt,source_question,answer_idx,region_choices_list,source_choices_list,region_choice_countries_list,region_choice_region_list,region_answer,region_answer_str
Al-en-01,Mexico,North America,What is a common snack for preschool kids in Mexico?,¿Cuál es una merienda común para niños de preescolar en México?,A,"['egg', 'jam sandwiches', 'fruit', 'cheese stick']","['huevo', 'شطائر الخبز بالمربى', 'fruit', '奶酪棒']","['Mexico', 'Algeria', 'US', 'China']","['North America', 'Africa', 'North America', 'East Asia']",0,egg
Al-en-06,Mexico,North America,What is a common school cafeteria food in Mexico?,¿Cuál es una comida común en las cafeterías escolares de México?,B,"['lentils', 'milanesa sandwich', 'kimchi', 'pizza']","['العدس', 'torta de milanesa', '김치', 'pizza']","['Algeria', 'Mexico', 'South_Korea', 'US']","['Africa', 'North America', 'East Asia', 'North America']",1,milanesa sandwich
Al-en-08,Mexico,North America,What are the most commonly eaten snacks at shopping malls in Mexico?,¿Cuáles son los bocadillos más comúnmente consumidos en los centros comerciales de México?,C,"['cookies', 'pretzels', 'tacos', 'potato chips']","['ኩኪስ', 'pretzels', 'tacos', '薯片']","['Ethiopia', 'US', 'Mexico', 'China']","['Africa', 'North America', 'North America', 'East Asia']",2,tacos
Al-en-09,Mexico,North America,What is a popular snack at an amusement park in Mexico?,¿Cuál es una botana popular en un parque de diversiones en México?,D,"['cake', 'cotton candy', 'churros', 'crisps']","['ኬክ', 'cotton candy', '츄러스', 'papitas']","['Ethiopia', 'US', 'South_Korea', 'Mexico']","['Africa', 'North America', 'East Asia', 'North America']",3,crisps
Al-en-18,Mexico,North America,For which subject do elementary students get private education in Mexico?,¿Para qué materia reciben educación privada los estudiantes de primaria en México?,A,"['english', 'religion', 'hausa', 'mathematics']","['inglés', 'religion', 'hausa', '数学']","['Mexico', 'US', 'Northern_Nigeria', 'China']","['North America', 'North America', 'Africa', 'East Asia']",0,english
Al-en-34,Mexico,North America,What do people do to celebrate New Year's Day in Mexico?,¿Qué hacen las personas para celebrar el Año Nuevo en México?,B,"['pictures and clothes of the new year', 'eat', 'eating sliced rice cake soup', 'drink (party)']","['hotona da rugunan sabuwar shekara', 'comer', '떡국 먹기', 'drink (party)']","['Northern_Nigeria', 'Mexico', 'South_Korea', 'US']","['Africa', 'North America', 'East Asia', 'North America']",1,eat
Al-en-40,Mexico,North America,What is a popular outdoor place for families to have fun with little kids in Mexico?,¿Cuál es un lugar al aire libre popular para que las familias se diviertan con niños pequeños en México?,C,"['parks', 'playgrounds', 'the parks', 'sablettes park']","['parks', 'παιδικές χαρές', 'parques', 'صابلات']","['US', 'Greece', 'Mexico', 'Algeria']","['North America', 'Europe', 'North America', 'Africa']",2,the parks
Al-en-43,Mexico,North America,What is a popular indoor activity for families in Mexico?,¿Cuál es una actividad popular de interior para las familias en México?,D,"['watching tv', 'parties', 'board games', 'watch videos on youtube']","['مشاهدة التلفاز', 'fiestas', 'board games', 'ver videos en youtube']","['Algeria', 'Spain', 'US', 'Mexico']","['Africa', 'Europe', 'North America', 'North America']",3,watch videos on youtube
An-ar-02,Mexico,North America,Where do university students have lunch in Mexico?,¿Dónde comen los estudiantes universitarios en México?,A,"['university cafeteria', 'canteen', 'restaurant', 'dining hall']","['cafeteria universitaria', 'canteen', 'university canteen', 'dining hall']","['Mexico', 'UK', 'Algeria', 'US']","['North America', 'Europe', 'Africa', 'North America']",0,university cafeteria
An-ar-03,Mexico,North America,Which month is the final exam term usually scheduled at high schools in Mexico? (Provide Arabic numerals (1~12) only.),¿En qué mes se programa normalmente el periodo de exámenes finales en las preparatorias de México? (Proporciona solo números arábigos (1~12).),B,"['May', '5', '10', '6']","['May', '5', '10', '6']","['US', 'Mexico', 'Ethiopia', 'Greece']","['North America', 'North America', 'Africa', 'Europe']",1,5
An-ar-35,Mexico,North America,Who is the most popular sport commentator in Mexico?,¿Quién es el comentarista deportivo más popular en México?,C,"['feker yilekal', 'Jim Nantz', 'bermudez a.k.a ""el perro""', 'jose maria garcia']","['ፍቅር ይልቃል', 'Jim Nantz', '""El perro"" Bermúdez', 'jose maria garcia']","['Ethiopia', 'US', 'Mexico', 'Spain']","['Africa', 'North America', 'North America', 'Europe']",2,"bermudez a.k.a ""el perro"""
An-ar-36,Mexico,North America,What is the most popular sport team in Mexico?,¿Cuál es el equipo deportivo más popular en México?,D,"['manchester united', 'Yankees', 'ethiopian coffee sport club', 'club america']","['manchester united', 'Yankees', 'ኢትዮጵያ ቡና', 'club américa']","['UK', 'US', 'Ethiopia', 'Mexico']","['Europe', 'North America', 'Africa', 'North America']",3,club america
An-ar-43,Mexico,North America,What are the common places or venues where individuals in Mexico usually gather to watch sports broadcasts?,¿Cuáles son los lugares comunes o establecimientos donde las personas en México suelen reunirse para ver transmisiones deportivas?,A,"['restaurant bar', 'sports bar', 'cafes', 'cinema']","['restaurante bar', 'sports bar', 'καφενείο', 'Sinima']","['Mexico', 'US', 'Greece', 'Northern_Nigeria']","['North America', 'North America', 'Europe', 'Africa']",0,restaurant bar
Ca-sp-06,Mexico,North America,Which is the most important meal of the day to people from Mexico?,¿Cuál es la comida más importante del día para la gente de México?,B,"['breakfast', 'lunch', 'the midday meal', 'rice']","['breakfast', 'la comida (de la tarde)', 'la comida del mediodía', 'shinkafa']","['US', 'Mexico', 'Spain', 'Northern_Nigeria']","['North America', 'North America', 'Europe', 'Africa']",1,lunch
Ca-sp-09,Mexico,North America,What do people from Mexico usually eat for dessert?,¿Qué suelen comer las personas de México de postre?,C,"['judge', 'apple crumble', 'pastry', 'ice cream']","['alkali', 'apple crumble', 'pan dulce', 'ice cream']","['Northern_Nigeria', 'UK', 'Mexico', 'US']","['Africa', 'Europe', 'North America', 'North America']",2,pastry
Ca-sp-29,Mexico,North America,What tradition is there in Mexico for New Year's Eve?,¿Qué tradición existe en México para la Nochevieja?,D,"['Watching the ball drop at Times Square', 'eating sweets', 'bihu', 'have dinner toghether']","['Watching the ball drop at Times Square', 'اكل الحلوى', 'বিহু', 'cenar todos juntos']","['US', 'Algeria', 'Assam', 'Mexico']","['North America', 'Africa', 'South Asia', 'North America']",3,have dinner toghether
Ca-sp-38,Mexico,North America,Which is the typical type of house for a family in Mexico?,¿Cuál es el tipo de casa típico para una familia en México?,A,"['detached house', 'the apartment', 'house', 'single story prefab']","['casa unifamiliar', 'الشقة', 'rumah tapak', 'single story prefab']","['Mexico', 'Algeria', 'Indonesia', 'US']","['North America', 'Africa', 'South Asia', 'North America']",0,detached house
Ca-sp-41,Mexico,North America,Where do the dependent elderly usually live in Mexico?,¿Dónde suelen vivir los ancianos dependientes en México?,B,"['mekedonia', 'with family members', 'assisted living', 'home']","['መቄዶንያ', 'con familiares', 'assisted living', 'নিজ গৃহত']","['Ethiopia', 'Mexico', 'US', 'Assam']","['Africa', 'North America', 'North America', 'South Asia']",1,with family members
Ca-sp-43,Mexico,North America,"How long (in weeks) is Mexico's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","¿Cuánto dura (en semanas) la licencia de paternidad en México para los padres? (Proporciona solo números arábigos (por ejemplo, 20).)",C,"['40', '1', '2', '6']","['40', '1', '2', '6']","['Indonesia', 'Ethiopia', 'Mexico', 'US']","['South Asia', 'Africa', 'North America', 'North America']",2,2
Ca-sp-45,Mexico,North America,What type of destination is commonly chosen for a family vacation in Mexico?,¿Qué tipo de destino se elige comúnmente para unas vacaciones familiares en México?,D,"['beach', 'hilly area', 'minjibir package', 'cancun']","['beach', 'পাহাৰীয়া ঠাই', 'minjibir pack', 'Cancún']","['US', 'Assam', 'Northern_Nigeria', 'Mexico']","['North America', 'South Asia', 'Africa', 'North America']",3,cancun
Gu-ch-05,Mexico,North America,What sports do seniors like the most in Mexico?,¿Qué deportes prefieren los adultos mayores en México?,A,"['soccer', 'baseball', 'badminton', 'cards']","['fútbol', 'baseball', 'bulutangkis', 'karta']","['Mexico', 'US', 'Indonesia', 'Northern_Nigeria']","['North America', 'North America', 'South Asia', 'Africa']",0,soccer
Gu-ch-11,Mexico,North America,What sports event has Mexico won the most gold medals at the Olympics?,¿En qué evento deportivo ha ganado México la mayor cantidad de medallas de oro en los Juegos Olímpicos?,B,"['running', 'diving', 'swimming', 'wrestling']","['الركض', 'clavados', 'swimming', 'güləş']","['Algeria', 'Mexico', 'US', 'Azerbaijan']","['Africa', 'North America', 'North America', 'Western Asia']",1,diving
Gu-ch-32,Mexico,North America,"What is the duration of compulsory education in years in Mexico? (Provide Arabic numerals (e.g., 12) only.)","¿Cuál es la duración en años de la educación obligatoria en México? (Proporcione solo números arábigos (por ejemplo, 12).)",C,"['11', '12', '15', '8']","['11', '12', '15', '8']","['Algeria', 'US', 'Mexico', 'Iran']","['Africa', 'North America', 'North America', 'Western Asia']",2,15
Gu-ch-40,Mexico,North America,"What time do younger elementary school students finish school in Mexico? (Provide in HH:MM format (e.g., 18:00, 09:00).)","¿A qué hora salen de la escuela los alumnos más pequeños de primaria en México? (Proporcionar en formato HH:MM (por ejemplo, 18:00, 09:00).)",D,"['15:00', '14:00', '12:00', '13:00']","['15:00', '14:00', '12:00', '13:00']","['US', 'Ethiopia', 'Azerbaijan', 'Mexico']","['North America', 'Africa', 'Western Asia', 'North America']",3,13:00
